Rel_Time,System_Time,S6_EMG_1
0.253707,18:00:50.974,2.232898
0.254172,18:00:50.974,1.801190
0.254638,18:00:50.975,2.350057
0.255103,18:00:50.975,2.128161
0.255569,18:00:50.976,1.429908
0.256034,18:00:50.976,0.700771
0.256500,18:00:50.977,0.008560
0.256966,18:00:50.977,-0.658808
0.257431,18:00:50.977,-1.290593
0.257897,18:00:50.978,-1.290593
0.258362,18:00:50.978,-2.456138
0.258828,18:00:50.979,-3.010880
0.259293,18:00:50.979,-3.519127
0.259759,18:00:50.980,-3.941939
0.260224,18:00:50.980,-4.323293
0.260690,18:00:50.981,-4.674098
0.261155,18:00:50.981,-4.952728
0.261621,18:00:50.982,-5.137026
0.262086,18:00:50.982,-5.265599
0.262552,18:00:50.983,-5.374701
0.263017,18:00:50.983,-5.479271
0.263483,18:00:50.984,-5.493538
0.263948,18:00:50.984,-5.494209
0.264414,18:00:50.984,-5.494377
0.264879,18:00:50.985,-5.494545
0.265345,18:00:50.985,-5.494545
0.265810,18:00:50.986,-5.494713
0.266276,18:00:50.986,-5.494545
0.266741,18:00:50.987,-5.494713
0.267207,18:00:50.987,-5.471214
0.267672,18:00:50.988,-5.320485
0.268138,18:00:50.988,-5.114870
0.268603,18:00:50.989,-4.817105
0.269069,18:00:50.989,-4.449516
0.269534,18:00:50.990,-4.070680
0.270000,18:00:50.990,-3.674556
0.270466,18:00:50.991,-3.282628
0.270931,18:00:50.991,-2.991577
0.271397,18:00:50.991,-2.834470
0.271862,18:00:50.992,-2.747692
0.272328,18:00:50.992,-2.747692
0.272793,18:00:50.993,-2.695995
0.273259,18:00:50.993,-2.826749
0.273724,18:00:50.994,-3.084230
0.274190,18:00:50.994,-3.359167
0.274655,18:00:50.995,-3.535409
0.275121,18:00:50.995,-3.597177
0.275586,18:00:50.996,-3.631586
0.276052,18:00:50.996,-3.761166
0.276517,18:00:50.997,-3.976852
0.276983,18:00:50.997,-4.145037
0.277448,18:00:50.997,-4.201434
0.277914,18:00:50.998,-4.206806
0.278379,18:00:50.998,-4.219394
0.278845,18:00:50.999,-4.248096
0.279310,18:00:50.999,-4.226108
0.279776,18:00:51.000,-4.111131
0.280241,18:00:51.000,-3.977859
0.280707,18:00:51.001,-3.831495
0.281172,18:00:51.001,-3.621515
0.281638,18:00:51.002,-3.330968
0.282103,18:00:51.002,-3.015579
0.282569,18:00:51.003,-2.701869
0.283034,18:00:51.003,-2.391180
0.283500,18:00:51.004,-2.059342
0.283966,18:00:51.004,-1.688396
0.284431,18:00:51.004,-1.332891
0.284897,18:00:51.005,-1.049897
0.285362,18:00:51.005,-0.808530
0.285828,18:00:51.006,-0.514626
0.286293,18:00:51.006,-0.151568
0.286759,18:00:51.007,0.212329
0.287224,18:00:51.007,0.551217
0.287690,18:00:51.008,0.904875
0.288155,18:00:51.008,1.308385
0.288621,18:00:51.009,1.789105
0.289086,18:00:51.009,2.306752
0.289552,18:00:51.010,2.801907
0.290017,18:00:51.010,3.311162
0.290483,18:00:51.011,3.812024
0.290948,18:00:51.011,4.201434
0.291414,18:00:51.011,4.435080
0.291879,18:00:51.012,4.581445
0.292345,18:00:51.012,4.639185
0.292810,18:00:51.013,4.541833
0.293276,18:00:51.013,4.270588
0.293741,18:00:51.014,3.865400
0.294207,18:00:51.014,3.428992
0.294672,18:00:51.015,3.068116
0.295138,18:00:51.015,2.808286
0.295603,18:00:51.016,2.556512
0.296069,18:00:51.016,2.202686
0.296534,18:00:51.017,1.780377
0.297000,18:00:51.017,1.423194
0.297466,18:00:51.018,1.163699
0.297931,18:00:51.018,0.922332
0.298397,18:00:51.018,0.648402
0.298862,18:00:51.019,0.360372
0.299328,18:00:51.019,0.147539
0.299793,18:00:51.020,0.024674
0.300259,18:00:51.020,-0.097520
0.300724,18:00:51.021,-0.203265
0.301190,18:00:51.021,-0.215686
0.301655,18:00:51.022,-0.123705
0.302121,18:00:51.022,0.007218
0.302586,18:00:51.023,0.123705
0.303052,18:00:51.023,0.201923
0.303517,18:00:51.024,0.293233
0.303983,18:00:51.024,0.438758
0.304448,18:00:51.024,0.577234
0.304914,18:00:51.025,0.644038
0.305379,18:00:51.025,0.674586
0.305845,18:00:51.026,0.757168
0.306310,18:00:51.026,0.917632
0.306776,18:00:51.027,1.106966
0.307241,18:00:51.027,1.295628
0.307707,18:00:51.028,1.498390
0.308172,18:00:51.028,1.757885
0.308638,18:00:51.029,2.098283
0.309103,18:00:51.029,2.459831
0.309569,18:00:51.030,2.459831
0.310034,18:00:51.030,3.156573
0.310500,18:00:51.031,3.510567
0.310966,18:00:51.031,3.747570
0.311431,18:00:51.031,3.827466
0.311897,18:00:51.032,3.806653
0.312362,18:00:51.032,3.712657
0.312828,18:00:51.033,3.514595
0.313293,18:00:51.033,3.162448
0.313759,18:00:51.034,2.662593
0.314224,18:00:51.034,2.130846
0.314690,18:00:51.035,1.695781
0.315155,18:00:51.035,1.375860
